Outreach,Recruitment,Flooding,Weight_outr,Weight_recr,Weight_flood,SolnIndex,Budget
44270.0,36199.0,53.436515,0.3965450065212585,0.29713536359308634,0.3063196298856549,1,1
43299.0,37260.0,28.104325,0.03739198313407008,0.9124690504786093,0.05013896638732042,5,1
50890.0,33738.0,30.273411,0.8083626842356129,0.046724928390959146,0.144912387373428,7,1
45535.0,36886.0,28.104325,0.3547127361392582,0.6049606135744167,0.04032665028632526,13,1
66969.0,36437.0,55.605601,0.3965450065212585,0.29713536359308634,0.3063196298856549,1,2
50057.0,37022.0,72.242835,0.3714339328901784,0.059457916571148454,0.5691081505386729,2,2
47186.0,39073.0,43.009114999999994,0.03739198313407008,0.9124690504786093,0.05013896638732042,5,2
68234.0,37260.0,30.273411,0.6568294881088512,0.29321464772114236,0.0499558641700065,10,2
48157.0,38012.0,68.341305,0.06551470963899077,0.7954085033206496,0.13907678704035947,19,2
93987.0,39073.0,89.316711,0.3965450065212585,0.29713536359308634,0.3063196298856549,1,5
63201.0,37803.0,119.111945,0.3714339328901784,0.059457916571148454,0.5691081505386729,2,5
104146.0,38800.0,63.19713,0.42865249944821743,0.4238502347572843,0.14749726579449815,3,5
53180.0,37731.0,125.182645,0.2742034332912477,0.04707008936543306,0.678726477343319,4,5
58742.0,40428.0,108.48407200000001,0.03739198313407008,0.9124690504786093,0.05013896638732042,5,5
55495.0,39544.0,123.322675,0.06208143181251181,0.6241326431494488,0.3137859250380395,6,5
107173.0,37260.0,57.088052,0.8083626842356129,0.046724928390959146,0.144912387373428,7,5
108461.0,37260.0,46.13073,0.6568294881088512,0.29321464772114236,0.0499558641700065,10,5
89751.0,39782.0,88.204251,0.12059532632009372,0.8326777356947951,0.04672693798511134,11,5
104146.0,39047.0,59.899119999999996,0.3547127361392582,0.6049606135744167,0.04032665028632526,13,5
98374.0,38587.0,82.00345,0.4824772685016561,0.3257294705532307,0.19179326094511306,14,5
78194.0,39782.0,107.010571,0.2341151945916914,0.5255864313147516,0.24029837409355717,26,5
101499.0,39286.0,64.203519,0.2654130883124571,0.6543858137615007,0.08020109792604209,27,5
104692.0,38834.0,59.899119999999996,0.5163045534977879,0.44103636825737097,0.042659078244841046,32,5
104692.0,38587.0,63.19713,0.6057586838576675,0.24340441743072436,0.15083689871160763,37,5
102205.0,37260.0,74.411921,0.5911599787360623,0.1513805171039755,0.25745950415996227,43,5
99759.0,39286.0,70.510391,0.19798822135069413,0.7386016619561946,0.06341011669311149,47,5
120095.0,39995.0,147.04586,0.3965450065212585,0.29713536359308634,0.3063196298856549,1,10
89281.0,39782.0,184.46610099999998,0.3714339328901784,0.059457916571148454,0.5691081505386729,2,10
152080.0,39136.0,79.96163,0.42865249944821743,0.4238502347572843,0.14749726579449815,3,10
78175.0,39782.0,192.99107499999997,0.2742034332912477,0.04707008936543306,0.678726477343319,4,10
96864.0,41777.0,129.830798,0.03739198313407008,0.9124690504786093,0.05013896638732042,5,10
159741.0,37562.0,48.884567000000004,0.8083626842356129,0.046724928390959146,0.144912387373428,7,10
158336.0,39136.0,52.00556900000001,0.6568294881088512,0.29321464772114236,0.0499558641700065,10,10
122122.0,41777.0,88.204251,0.12059532632009372,0.8326777356947951,0.04672693798511134,11,10
152080.0,38889.0,83.58476999999999,0.4824772685016561,0.3257294705532307,0.19179326094511306,14,10
145732.0,39375.0,98.48955999999998,0.5132055955643245,0.23186478497098226,0.25492961946469306,15,10
120641.0,39782.0,147.04586,0.4698480618782724,0.17271545344939115,0.3574364846723364,17,10
124253.0,39995.0,140.37389000000002,0.3312759530032357,0.4246208578422766,0.2441031891544882,18,10
83183.0,40730.0,173.60172199999997,0.06551470963899077,0.7954085033206496,0.13907678704035947,19,10
104956.0,39782.0,170.31441099999998,0.2341151945916914,0.5255864313147516,0.24029837409355717,26,10
136257.0,40730.0,102.18615,0.2654130883124571,0.6543858137615007,0.08020109792604209,27,10
76728.0,40428.0,184.25477199999997,0.052287743153229704,0.7207715140768594,0.22694074276991064,28,10
158336.0,38889.0,55.303579000000006,0.6057586838576675,0.24340441743072436,0.15083689871160763,37,10
66582.0,39710.0,194.241405,0.04790782641544591,0.04651318233243561,0.9055789912521183,39,10
137009.0,40084.0,116.08455099999999,0.31731075744584974,0.5390706661409682,0.1436185764131819,40,10
134003.0,39073.0,124.162481,0.5855283834491772,0.05573914855940204,0.35873246799142056,41,10
